"place","pop2023","growthRate","area","country","cca3","cca2","ccn3","region","subregion","unMember","officialName","landAreaKm","density","densityMi","Rank","LeastDevelopedCurrentOrFormer","LeastDevelopedYearAdded","Hdi2021","Hdi2019","LeastDevelopedYearGraduated"
50,172954319,0.01033,147570,"Bangladesh","BGD","BD",50,"Asia","Southern Asia, South Central Asia",true,"People's Republic of Bangladesh",130170,1328.6803,3441.2821,8,"Current",1975,0.661,0.644,"2026*"
231,126527060,0.02551,1104300,"Ethiopia","ETH","ET",231,"Africa","Eastern Africa, Sub-Saharan Africa",true,"Federal Democratic Republic of Ethiopia",1128571.3,112.1126,290.3716,11,"Current",1971,0.498,0.498,"tbd"
180,102262808,0.03285,2344858,"DR Congo","COD","CD",180,"Africa","Middle Africa, Sub-Saharan Africa",true,"Democratic Republic of the Congo",2267050,45.1083,116.8305,15,"Current",1991,0.479,0.482,"tbd"
834,67438106,0.02963,945087,"Tanzania","TZA","TZ",834,"Africa","Eastern Africa, Sub-Saharan Africa",true,"United Republic of Tanzania",885800,76.1324,197.183,22,"Current",1971,0.549,0.548,"tbd"
104,54577997,0.00736,676578,"Myanmar","MMR","MM",104,"Asia","South-Eastern Asia",true,"Republic of the Union of Myanmar",652670,83.6227,216.5827,27,"Current",1987,0.585,0.598,"tbd"
800,48582334,0.02821,241550,"Uganda","UGA","UG",800,"Africa","Eastern Africa, Sub-Saharan Africa",true,"Republic of Uganda",200520,242.2817,627.5097,30,"Current",1971,0.525,0.525,"tbd"
729,48109006,0.02634,1886068,"Sudan","SDN","SD",729,"Africa","Northern Africa",true,"Republic of the Sudan",1868000,25.7543,66.7036,31,"Current",1971,0.508,0.514,"tbd"
4,42239854,0.02702,652230,"Afghanistan","AFG","AF",4,"Asia","South Central Asia, Southern Asia",true,"Islamic Republic of Afghanistan",652230,64.7622,167.7341,36,"Current",1971,0.478,0.488,"tbd"
24,36684202,0.03077,1246700,"Angola","AGO","AO",24,"Africa","Middle Africa, Sub-Saharan Africa",true,"Republic of Angola",1246700,29.425,76.2109,42,"Current",1994,0.586,0.595,"2024*"
887,34449825,0.02235,527968,"Yemen","YEM","YE",887,"Asia","Western Asia, The Middle East",true,"Republic of Yemen",527970,65.2496,168.9964,44,"Current",1971,0.455,0.461,"tbd"
508,33897354,0.02814,801590,"Mozambique","MOZ","MZ",508,"Africa","Eastern Africa, Sub-Saharan Africa",true,"Republic of Mozambique",786380,43.1056,111.6434,48,"Current",1988,0.446,0.456,"tbd"
524,30896590,0.01143,147181,"Nepal","NPL","NP",524,"Asia","Southern Asia, South Central Asia",true,"Federal Democratic Republic of Nepal",143350,215.5325,558.2293,49,"Current",1971,0.602,0.611,"2026*"
450,30325732,0.02411,587041,"Madagascar","MDG","MG",450,"Africa","Eastern Africa, Sub-Saharan Africa",true,"Republic of Madagascar",581800,52.124,135.0011,50,"Current",1991,0.501,0.51,"tbd"
562,27202843,0.03796,1267000,"Niger","NER","NE",562,"Africa","Western Africa, Sub-Saharan Africa",true,"Republic of Niger",1266700,21.4754,55.6212,54,"Current",1971,0.4,0.406,"tbd"
466,23293698,0.03099,1240192,"Mali","MLI","ML",466,"Africa","Western Africa, Sub-Saharan Africa",true,"Republic of Mali",1220190,19.0902,49.4437,58,"Current",1971,0.428,0.433,"tbd"
854,23251485,0.02548,272967,"Burkina Faso","BFA","BF",854,"Africa","Western Africa, Sub-Saharan Africa",true,"Burkina Faso",273600,84.9835,220.1073,59,"Current",1971,0.449,0.452,"tbd"
454,20931751,0.0258,118484,"Malawi","MWI","MW",454,"Africa","Eastern Africa, Sub-Saharan Africa",true,"Republic of Malawi",94280,222.0169,575.0237,62,"Current",1971,0.512,0.519,"tbd"
894,20569737,0.02758,752612,"Zambia","ZMB","ZM",894,"Africa","Eastern Africa, Sub-Saharan Africa",true,"Republic of Zambia",743390,27.6702,71.6658,63,"Current",1991,0.565,0.575,"tbd"
148,18278568,0.03133,1284000,"Chad","TCD","TD",148,"Africa","Middle Africa, Sub-Saharan Africa",true,"Republic of Chad",1259200,14.516,37.5965,67,"Current",1971,0.394,0.403,"tbd"
686,17763163,0.0258,196722,"Senegal","SEN","SN",686,"Africa","Western Africa, Sub-Saharan Africa",true,"Republic of Senegal",192530,92.2618,238.958,71,"Current",2000,0.511,0.513,"tbd"
116,16944826,0.01056,181035,"Cambodia","KHM","KH",116,"Asia","South-Eastern Asia",true,"Kingdom of Cambodia",176520,95.9938,248.6239,73,"Current",1991,0.593,0.598,"tbd"
324,14190612,0.0239,245857,"Guinea","GIN","GN",324,"Africa","Western Africa, Sub-Saharan Africa",true,"Republic of Guinea",245720,57.7511,149.5755,75,"Current",1971,0.465,0.467,"tbd"
646,14094683,0.02308,26338,"Rwanda","RWA","RW",646,"Africa","Eastern Africa, Sub-Saharan Africa",true,"Republic of Rwanda",24670,571.3289,1479.7417,76,"Current",1971,0.534,0.534,"tbd"
204,13712828,0.02696,112622,"Benin","BEN","BJ",204,"Africa","Western Africa, Sub-Saharan Africa",true,"Republic of Benin",112760,121.6107,314.9718,77,"Current",1971,0.525,0.53,"tbd"
108,13238559,0.02708,27834,"Burundi","BDI","BI",108,"Africa","Eastern Africa, Sub-Saharan Africa",true,"Republic of Burundi",25680,515.5202,1335.1973,78,"Current",1971,0.426,0.431,"tbd"
332,11724763,0.01206,27750,"Haiti","HTI","HT",332,"North America","Caribbean",true,"Republic of Haiti",27560,425.4268,1101.8554,81,"Current",1971,0.535,0.543,"tbd"
728,11088796,0.01609,619745,"South Sudan","SSD","SS",728,"Africa","Middle Africa, Sub-Saharan Africa",true,"Republic of South Sudan",631930,17.5475,45.448,86,"Current",2012,0.385,0.393,"tbd"
768,9053799,0.02318,56785,"Togo","TGO","TG",768,"Africa","Western Africa, Sub-Saharan Africa",true,"Togolese Republic",54390,166.4607,431.1333,99,"Current",1982,0.539,0.535,"tbd"
694,8791092,0.02154,71740,"Sierra Leone","SLE","SL",694,"Africa","Western Africa, Sub-Saharan Africa",true,"Republic of Sierra Leone",72180,121.794,315.4465,102,"Current",1982,0.477,0.48,"tbd"
418,7633779,0.01385,236800,"Laos","LAO","LA",418,"Asia","South-Eastern Asia",true,"Lao People's Democratic Republic",230800,33.0753,85.665,103,"Current",1971,0.607,0.61,"2026*"
140,5742315,0.02925,622984,"Central African Republic","CAF","CF",140,"Africa","Middle Africa, Sub-Saharan Africa",true,"Central African Republic",622980,9.2175,23.8733,117,"Current",1975,0.404,0.411,"tbd"
430,5418377,0.02182,111369,"Liberia","LBR","LR",430,"Africa","Western Africa, Sub-Saharan Africa",true,"Republic of Liberia",96320,56.2539,145.6976,120,"Current",1990,0.481,0.484,"tbd"
478,4862989,0.02678,1030700,"Mauritania","MRT","MR",478,"Africa","Western Africa, Sub-Saharan Africa",true,"Islamic Republic of Mauritania",1030700,4.7181,12.22,126,"Current",1986,0.556,0.563,"tbd"
232,3748901,0.01761,117600,"Eritrea","ERI","ER",232,"Africa","Eastern Africa, Sub-Saharan Africa",true,"State of Eritrea",121040.8,30.9722,80.218,131,"Current",1994,0.492,0.495,"tbd"
270,2773168,0.02483,10689,"Gambia","GMB","GM",270,"Africa","Western Africa, Sub-Saharan Africa",true,"Republic of the Gambia",10120,274.0285,709.7337,141,"Current",1975,0.5,0.503,"tbd"
72,2675352,0.01713,582000,"Botswana","BWA","BW",72,"Africa","Southern Africa, Sub-Saharan Africa",true,"Republic of Botswana",566730,4.7207,12.2266,144,"Former",1971,0.693,0.717,1994
426,2330318,0.01062,30355,"Lesotho","LSO","LS",426,"Africa","Southern Africa, Sub-Saharan Africa",true,"Kingdom of Lesotho",30360,76.7562,198.7985,147,"Current",1971,0.514,0.524,"tbd"
226,1714671,0.02374,28051,"Equatorial Guinea","GNQ","GQ",226,"Africa","Middle Africa, Sub-Saharan Africa",true,"Republic of Equatorial Guinea",28050,61.1291,158.3243,152,"Former",1982,0.596,0.605,2017
262,1136455,0.01392,23200,"Djibouti","DJI","DJ",262,"Africa","Eastern Africa, Sub-Saharan Africa",true,"Republic of Djibouti",23180,49.0274,126.981,160,"Current",1982,0.509,0.512,"tbd"
174,852075,0.01829,1862,"Comoros","COM","KM",174,"Africa","Eastern Africa, Sub-Saharan Africa",true,"Union of the Comoros",1861,457.8587,1185.854,163,"Current",1977,0.558,0.56,"tbd"
64,787424,0.00635,38394,"Bhutan","BTN","BT",64,"Asia","Southern Asia, South Central Asia",true,"Kingdom of Bhutan",38140,20.6456,53.4722,165,"Current",1971,0.666,0.671,"2023*"
90,740424,0.0223,28896,"Solomon Islands","SLB","SB",90,"Oceania","Melanesia",true,"Solomon Islands",27990,26.4532,68.5137,166,"Current",1991,0.564,0.567,"tbd"
132,598682,0.00933,4033,"Cape Verde","CPV","CV",132,"Africa","Western Africa, Sub-Saharan Africa",true,"Republic of Cabo Verde",4033,148.4458,384.4747,171,"Former",1977,0.662,0.676,2007
462,521020.99999999994,-0.00528,300,"Maldives","MDV","MV",462,"Asia","Southern Asia, South Central Asia",true,"Republic of the Maldives",300,1736.7367,4498.148,174,"Former",1971,0.747,0.755,2011
548,334506,0.02377,12189,"Vanuatu","VUT","VU",548,"Oceania","Melanesia",true,"Republic of Vanuatu",12190,27.441,71.0722,182,"Former",1985,0.607,0.611,2020
678,231856,0.01969,964,"Sao Tome and Principe","STP","ST",678,"Africa","Middle Africa, Sub-Saharan Africa",true,"Democratic Republic of São Tomé and Príncipe",960,241.5167,625.5282,187,"Current",1982,0.618,0.622,"2024*"
882,225681,0.01484,2842,"Samoa","WSM","WS",882,"Oceania","Polynesia",true,"Independent State of Samoa",2780,81.1802,210.2568,188,"Former",1971,0.707,0.715,2014
296,133515,0.0174,811,"Kiribati","KIR","KI",296,"Oceania","Micronesia",true,"Independent and Sovereign Republic of Kiribati",810,164.8333,426.9183,192,"Current",1986,0.624,0.63,"tbd"
798,11396,0.00743,26,"Tuvalu","TUV","TV",798,"Oceania","Polynesia",true,"Tuvalu",30,379.8667,983.8547,227,"Current",1986,0.641,0.635,"tbd"